question_id,question,difficulty,answerability,expected_decision,generated_sql,sql_execution_status,exact_match,execution_accuracy,sql_validity,schema_match,kpi_match,context_consistency,data_completeness,evidence_strength,result_consistency,overall_confidence,decision,decision_match,generated_answer,expected_answer_repr,business_correct,unsafe_answer,notes
A01,What is the total revenue?,simple,answerable,ANSWER,SELECT SUM(revenue) AS total_revenue FROM orders,ok,true,true,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9790000000000001,ANSWER,true,"Total Revenue is 3,388,831.47.",[[3428686.53]],true,false,
A02,How many orders are there in total?,simple,answerable,ANSWER,SELECT COUNT(*) AS order_count FROM orders,ok,true,true,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9790000000000001,ANSWER,true,"Order Count is 2,037.",[[2077]],true,false,
A03,How many units have been sold?,simple,answerable,ANSWER,SELECT SUM(quantity) AS units_sold FROM orders,ok,true,true,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9790000000000001,ANSWER,true,"Units Sold is 7,164.",[[7264]],true,false,
A04,What is the average order value?,simple,answerable,ANSWER,SELECT SUM(revenue)*1.0/COUNT(*) AS avg_order_value FROM orders,ok,true,true,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9790000000000001,ANSWER,true,"Average Order Value is 1,663.64.",[[1650.7879]],true,false,
A05,What is the gross margin?,simple,answerable,ANSWER,SELECT SUM(revenue-cost)*1.0/SUM(revenue) AS gross_margin FROM orders,ok,true,true,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9790000000000001,ANSWER,true,Gross Margin is 37.7%.,[[0.3772]],true,false,
A06,What is the discount rate?,simple,answerable,ANSWER,SELECT SUM(discount)*1.0/(SUM(revenue)+SUM(discount)) AS discount_rate FROM orders,ok,true,true,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9790000000000001,ANSWER,true,Discount Rate is 3.8%.,[[0.0381]],true,false,
A07,Show revenue by region,moderate,answerable,ANSWER,"SELECT regions.region_name AS region, SUM(revenue) AS total_revenue FROM orders JOIN regions ON regions.region_id = orders.region_id GROUP BY regions.region_name ORDER BY total_revenue DESC",ok,false,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ANSWER,true,"Total Revenue across 4 region values — leader: East (969,084.07).","[[""East"", 980575.04], [""South"", 979022.41], [""North"", 774790.1], [""West"", 694298.98]]",true,false,
A08,Show revenue by category,moderate,answerable,ANSWER,"SELECT products.category AS category, SUM(revenue) AS total_revenue FROM orders JOIN products ON products.product_id = orders.product_id GROUP BY products.category ORDER BY total_revenue DESC",ok,false,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ANSWER,true,"Total Revenue across 4 category values — leader: Electronics (1,822,286.44).","[[""Electronics"", 1850923.65], [""Furniture"", 899583.78], [""Software"", 600171.94], [""Office"", 78007.16]]",true,false,
A09,What is the revenue by month?,moderate,answerable,ANSWER,"SELECT substr(order_date,1,7) AS month, SUM(revenue) AS total_revenue FROM orders GROUP BY substr(order_date,1,7) ORDER BY month",ok,true,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ANSWER,true,"Total Revenue across 9 month values — leader: 2026-01 (384,755.48).","[[""2026-01"", 384755.48], [""2026-02"", 344681.6], [""2026-03"", 413344.53], [""2026-04"", 402345.86], [""2026-05"", 453981.34], [""2026-06"", 454994.41], [""2026-07"", 202536.65], [""2026-08"", 359371.73], [""2026-09"", 412674.93]]",true,false,
A10,What is the gross margin by category?,moderate,answerable,ANSWER,"SELECT products.category AS category, SUM(revenue-cost)*1.0/SUM(revenue) AS gross_margin FROM orders JOIN products ON products.product_id = orders.product_id GROUP BY products.category ORDER BY gross_margin DESC",ok,false,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ANSWER,true,Gross Margin across 4 category values — leader: Software (65.0%).,"[[""Software"", 0.6498], [""Office"", 0.4505], [""Furniture"", 0.351], [""Electronics"", 0.2985]]",true,false,
